Source	Target	Interaction
LAT	VAV1	+
LATS2	WWTR1	-
LCP2	PLCG1	+
LRIG1	EGFR	-
LRIG1	ERBB2	+
LRIG1	ERBB3	+
LRIG1	ERBB4	+
LRP6	AXIN1	+
LRP6	GSK3B	-
LYN	BCAR1	+
LYN	CBL	+
LYN	EPOR	+
LYN	PLCG1	+
LYN	PPP1R15A	+
LYN	TRPV4	+
LYN	VAV1	+
MAGEL2	TRIM27	+
MALT1	TAB2	+
MAP1LC3A	ATG3	+
MAP1LC3A	SQSTM1	+
MAP2K2	MAPK1	+
MAP2K2	MAPK3	+
MAP2K3	DYRK1B	+
MAP2K3	MAPK11	+
MAP2K3	MAPK13	+
MAP2K3	MAPK14	+
MAP2K5	MAPK7	+
MAP2K6	CRK	+
MAP2K6	MAPK10	+
MAP2K6	MAPK11	+
MAP2K6	MAPK12	+
MAP2K6	MAPK13	+
MAP2K6	MAPK14	+
MAP2K6	MAPK9	+
MAP2K6	PAK6	+
MAP2K7	FADD	-
MAP2K7	IRS1	-
MAP2K7	MAPK10	+
MAP2K7	MAPK9	+
MAP3K10	MAP2K4	+
MAP3K10	MAP2K7	+
MAP3K11	MAP2K3	+
MAP3K11	MAP2K4	+
MAP3K11	MAP2K6	+
MAP3K11	PIN1	+
MAP3K12	MAP2K4	+
MAP3K12	MYL12A	+
MAP3K14	CHUK	+
MAP3K14	MAP3K1	+
MAP3K14	NCK1	+
MAP3K14	RCAN1	+
MAP3K14	RELA	+
MAP3K14	TRAF2	+
MAP3K20	MAP2K3	+
MAP3K20	MAP2K5	+
MAP3K20	MAP2K6	+
MAP3K4	MAP2K3	+
MAP3K4	MAP2K6	+
MAP3K4	MINK1	+
MAP3K5	CDKN1A	+
MAP3K5	DAXX	+
MAP3K5	MAP2K3	+
MAP3K5	MAP2K6	+
MAP3K5	MAPK14	+
MAP3K7	CHUK	+
MAP3K7	HIPK2	+
MAP3K7	IKBKB	+
MAP3K7	IKBKG	+
MAP3K7	MAP2K3	+
MAP3K7	MAP2K6	+
MAP3K7	MAP3K4	+
MAP3K7	MAPK14	+
MAP3K7	PRKAA2	+
MAP4K1	MAP3K1	+
MAP4K1	MAP3K11	+
MAP4K1	MAP3K7	+
MAPK1	ABI1	+
MAPK1	AR	+
MAPK1	ARHGEF2	+
MAPK1	ARRB1	-
MAPK1	BAD	-
MAPK1	BCL2	+
MAPK1	BCL2L11	-
MAPK1	BCL6	+
MAPK1	BMF	+
MAPK1	BRAF	-
MAPK1	CAPN2	+
MAPK1	CASP8	-
MAPK1	CASP9	-
MAPK1	CDK1	-
MAPK1	CDK2	+
MAPK1	CDKN1A	+
MAPK1	CDKN1B	+
MAPK1	CEBPA	-
MAPK1	CEBPB	+
MAPK1	CIC	-
MAPK1	CREBBP	+
