Source	Target	Relation
TNNI3K	TBC1D22A	+
CCNA2	FOXM1	+
TGFBR2	SOX10	+
UBR1	CKS1B	+
IL27	JAK2	0
HGF	WASF2	+
PRTN3	WG	+
VEGFC	PRKCA	+
EGFR	SHC3	0
CITED1	CTNNB1	-
IFNG	STAT6	-
RAD23B	PSMC4	0
MATK	NGF	0
PPP1R1B	PPP1CA	-
GRP	SST	+
CD8A	IL2RB	+
SELL	JUN	+
PPARG	IL1B	-
DUSP16	MAPK12	-
SMAD4	GAB2	0
NCBP1	UBB	0
AURKA	CENPA	+
PIAS4	MBD2	0
CAMK2D	CREB1	+
RPL41	RPLP2	0
INS	CP	+
HCK	TRPV6	+
PTPN6	PRLR	-
RPS5	UBC	0
SPI1	STAT1	-
PSMB7	UBE2D1	+
DYNLL1	CEP72	0
SOCS3	IL2RA	-
CALML5	PHKG2	0
MAPK3	UBTF	+
PAFAH1B1	AZI1	0
IL1RAP	IRAK1	0
TRAF6	IRAK1	0
MYT1	CCNB1	-
PRKCD	INSR	+
ITGB2	SHC1	0
PSMA8	TRIP12	0
NFATC2	IL2	-
SYK	PSMA6	+
MOS	MBNL3	+
CREBBP	SMAD4	-
FYN	PIK3R1	+
GSK3B	FGR	+
CASP4	PTBP1	+
HSPB1	PSMD6	0
IFNG	MAP3K1	+
CD4	SHC2	+
RPS16	RPS27	0
EAF2	TP53	-
EREG	EGFR	+
NFKBIB	IKBKG	0
GNAT1	CNGB1	-
TPR	SEH1L	0
NUP188	NUP153	0
TFDP1	YY1	0
RAE1	GEMIN5	+
HAT1	PTPN11	+
PPP3R1	CDC23	+
PPARA	PLTP	+
TSGA14	CDK5RAP2	0
SDC2	TGFB1	0
PPP2R5A	GSK3A	+
MAP3K1	MAP2K6	+
NGF	NGFR	+
NFKBIB	SKP1	0
CD247	PRF1	+
MYH9	ACTG1	0
LAMA4	ITGB3	+
CASP8	DAXX	0
SRF	GATA4	+
AR	KPNB1	0
CORT	MRGPRX2	+
RPL38	RPL14	0
PPIA	MAPK3	+
UBE2I	MDM2	+
FLT3LG	IL15	+
PRKCZ	GSK3B	-
CXCL3	CCR1	+
NCAPD2	NCAPH	0
MAPK3	ADRBK1	+
IL2	FOXP3	+
RASA1	MRAS	-
AURKB	NCAPD3	+
BMP5	BMPR2	+
CDC14B	ANAPC5	+
NPAS2	CRY1	+
MSN	CD4	+
MYC	IREB2	+
PTK2B	MTCP1	+
GNAI2	S1PR2	0
GRK5	CXCR4	+
MYH4	TRIM32	0
PGRMC1	GNA11	0
GPC1	BLK	+
DVL1	ARRB1	0
PRKACA	KCNJ4	-
IGFBP6	IGFBP6	+
IDE	UCHL5	0
CSF2RA	JAK1	+
SPRY2	FGF12	0
MAP3K6	ERC1	+
NTF3	PIK3CA	+
PTK2B	ITGB1	0
DYRK4	CAMKK1	+
EEF1A1	ZNF259	0
MDGA1	CA9	-
PRKCI	ETS1	+
ITGB1	ZYX	0
CUL1	UBB	+
CDK5	CCNB1	0
PTPN11	PTK2	-
HAX1	CASP9	-
RPSA	RPS15A	0
FGF16	SPP1	+
FZD5	PI4K2A	+
KCNIP3	KCND2	-
MDC1	BRCA1	+
EDN1	ILK	+
WEE1	PPP1R8	+
LAMA1	ITGA5	+
TERT	HSP90AA1	0
HDAC11	HIST2H3C	+
IL4	CSF2	+
PLD2	MAPK1	+
THBS4	ITGB4	+
MAPKAPK5	PSMC3	+
ILK	ITGB7	0
RPS15A	RPS19	0
PSMA6	PSMA8	0
SRPR	SRPRB	+
STK3	LATS1	+
PSMF1	CDC26	+
PRKACA	XRCC4	+
FGF14	MAPK1	+
CD2	SYK	+
MTOR	RPTOR	0
TNFSF10	MAPK3	+
TRIM25	CDK2	+
SPHK1	VEGFA	-
JAK3	SMPD1	-
CSF1	MAP2K1	+
TGFB1	PRL	+
GAB1	PDGFB	0
BRCA1	BARD1	0
PSMB7	PSMD2	0
LAMA1	LAMB3	0
TNXB	ITGB7	+
IL6	VAV1	+
AKT1	SOD1	-
E2F1	EGR1	+
ACVR2B	SMAD9	+
PPP2R1B	RPS6KB2	-
SEH1L	RNPS1	+
AXIN1	WNT3A	0
FGF2	SHC1	0
NFIX	POLR3A	+
CAMKK1	CAMK4	+
AAAS	GEMIN7	+
IL12B	PIK3R1	+
CD40LG	MAP2K4	+
SPP1	IRF7	+
PSME4	UCHL5	0
SNRK	POLR3D	+
MYC	NPM1	+
APC2	ARHGEF4	+
JAK2	GADD45B	+
CDC42BPA	MYL4	+
STK17A	CSRP3	+
ESR1	PIK3R1	0
FOXO1	YWHAZ	0
ARPC4	ACTR2	0
RPS15A	EIF3A	0
RPL8	UBC	0
BMPR2	ACVRL1	0
ITGA1	CALR	0
FBXO2	UBB	+
RPL7A	RPLP0	0
RPL4	UBB	0
TGFB1	SMAD3	+
CSNK1E	CEP250	0
IL2RA	MAPK14	+
LAMB4	ITGB7	+
PPP3CB	RNF128	+
RPS9	RPS15A	0
CALM1	MYLK2	+
PTEN	SLC9A3R2	0
PIK3R2	CBL	0
NR3C1	SMAD3	0
CD80	HLA-A	-
MAPK1	FGF5	-
TNF	EDN1	+
CTSB	SPHK1	+
IFNA6	PSME2	+
C19orf61	SMG1	-
CDCA8	TP53	-
CBLC	IL23R	-
SMAD4	PARD3	0
HAT1	WT1	+
GSK3B	NFATC1	-
HLA-B	KLRC3	+
PDGFC	FGFR2	+
CREB1	CREB3L4	0
PDHX	PDHB	0
TSC2	RHEB	-
YY1	DNAJB4	+
POLM	XRCC4	0
JAK2	HES5	0
SRC	FGF12	-
CTNNB1	PITX2	+
HBA2	RPL7A	0
IL18	ULBP2	+
NEK2	CEP57	0
CTNNB1	SRC	+
EIF1AX	RPS4Y1	+
CLK2	ZYX	+
SNORA62	E2F1	-
CDC27	ANAPC10	+
LCK	PIK3R2	0
MAPK14	KRT19	+
PSMB9	TRIP12	0
SMURF1	RET	-
PSMC6	PSME1	0
IL12A	NOS2	+
C1S	C4B	+
PAAF1	SKP1	+
P4HB	APOA1	+
MAPK12	SH3BP5	+
CCL16	CXCR6	+
HNF1B	KIF12	-
NUPL2	GCKR	+
CASP3	ITGB4	+
FBXW11	CTNNB1	-
TLN1	ACTN1	0
HLA-A	KIR2DL1	+
RDBP	POLR2E	0
COL6A2	ITGA8	+
SRC	PRKCD	+
FTL	RPL7A	0
LCP2	SHB	0
XCL2	CX3CR1	+
ARPC1B	ACTG1	0
MEF2D	SLC2A14	+
PPP3CB	SYNJ1	+
CARD10	NFKB1	-
CEP76	DCTN3	0
PLCG2	CD79B	0
KRAS	PIK3CA	0
MYLK2	MYL10	+
RPS6KB1	ASAP3	+
EIF2AK2	NFKB1	+
ARNT	FECH	+
IL2RA	PRF1	+
EIF3M	EIF3E	0
TGFBR2	MAP3K7IP2	+
HSP90AA1	AKT1	+
IRF6	IL8	+
GTF2E1	GTF3A	0
PSMC1	PAAF1	0
CSNK1D	GJA1	+
RPS10	RPS17	0
PSMB9	ANAPC1	+
CPT1A	ACSL5	0
BDNF	INSRR	+
POLD4	POLD1	0
RAP1A	RASSF5	0
UBXN1	CDC23	+
NUP214	GCK	+
AKT1	NCL	+
JAK1	SMPD1	-
RANBP2	CPSF1	+
GRIN2C	RYR1	0
CCL3L3	CXCR3	+
CBLC	IL4R	-
PSMB7	PSMB8	0
RPL18A	RPS10	0
CDH2	CTNNB1	0
RPS4Y1	RPS14	0
IL1B	PLAUR	+
CRK	PIK3CD	+
PTPN13	EFNB1	+
HLA-DMA	CD74	+
PDPK1	ZAP70	+
CLDN20	ESAM	0
PPP2R5B	PPP2R5D	0
PTK2	BMX	+
TNF	MYLK	+
PSMB1	RAD23B	0
BMPR1B	NFATC4	+
ENAH	ARPC4	+
KLF4	ITGAD	-
PSMB2	PSMD11	0
AKT1	ACAP2	+
TNS1	PXN	0
NUP93	RNPS1	+
MAP4K1	MAP3K5	+
EPHB1	PIK3CA	+
CAMKK1	ASAP2	+
CTTN	SRC	0
PLCG1	SPHK1	0
SUCLA2	APAF1	+
SRC	NOS2	+
EPN2	LOC652799	0
KAT2A	GADD45A	+
RPL5	RPL21	0
ZAK	TJP1	+
GTF2H1	RAD23B	+
PAIP1	EIF4B	0
MMP7	NGF	+
EZR	HGF	+
RYR1	TRPC1	0
CHUK	NFKBIB	+
PPARG	HMOX1	+
CETN2	OFD1	0
IL4R	PIK3R1	+
SAP30	MBD2	0
NOX3	MAPK12	+
CPT1A	ACACB	0
PSME3	TCEB2	+
PSMB8	PSMC3	0
CHP	CDC26	+
GTF2H2	GTF2H4	0
PIK3R5	VAV2	0
LAMA1	ITGAV	+
MAPK3	RCAN1	+
TLN1	MLC1	0
LAMA4	YWHAE	0
ARHGEF6	CBL	-
DUSP10	MAPK13	-
GSN	CAPZB	0
HBA2	RPS13	0
IL1R1	PIK3R1	0
RPS9	RPS17	0
RPL28	RPS3A	0
PIP5K1A	WASL	+
NEK2	PPP1R13L	+
LTB	TP53	+
MAD2L2	LOC650621	-
PARVA	LOC646821	0
CTNNB1	SKP1	0
FGF2	ETS1	+
TAF9	CAD	+
PLCG2	VAV3	+
PINK1	CAMKK1	+
PKM2	POU5F1	+
TFE3	RRM1	+
AGTR2	GNGT1	0
FLNA	ATP1B3P1	-
EDN3	PRL	-
TNNI3K	BAX	+
YWHAE	ALMS1	0
MAPKAPK5	SND1	+
MAPKAPK5	MAPK8	+
RPL31	RPS13	0
PPP1CC	MYL12A	-
NUP214	CPSF1	+
CDK1	CDC16	+
PSMC1	CDC27	+
PPP2CA	MAP2K1	-
EIF5	RPS12	+
PAFAH1B1	SSNA1	0
RTKN	WNT7A	0
ALMS1	CEP135	0
NUP93	SNRPD2	+
KIT	KITLG	0
HLA-E	KIR2DL5A	+
FRK	RBM27	+
GDNF	RAP1A	+
UBE2D2	NFKBIA	-
BLK	PDGFD	+
HNF4A	SALL4	+
GLI1	HHIP	+
CCL27	CCR2	+
PLD2	GAB2	0
NUMBL	NOTCH4	-
PCNT	CP110	0
SPDYC	CDK1	+
NGF	STAT3	+
ITGB4	YWHAG	0
IL10	TFRC	+
RALB	MAPK11	+
RPL31	RPL41	0
CASP3	PAK2	+
FOXA1	TFF1	+
BTRC	NFKB1	-
SRC	PLCG1	+
RPL41	UBC	0
PEX10	PEX12	-
NRG1	PIK3CD	+
RPSA	RPL11	0
CLDN19	CLDN20	0
PRL	LPL	-
CDK8	UBB	0
RAD17	TIMELESS	0
RXRG	TNF	+
PRKCB	GNB1	+
CEP135	CEP164	0
CBL	ITGA1	-
GRK6	ADRB2	+
PAX5	RAG2	+
CAPN2	ITGB4	-
KAT2B	SMAD2	+
HERPUD1	TIMP4	+
PPP3CB	SYNJ2	+
U2AF2	SNRPD1	+
EIF1	RPS17	+
PIAS1	MDM2	+
CAMK2B	PPP3CC	+
POMP	PSMD4	0
GUCY1A3	PRKG1	0
IL12RB1	MPO	+
CR2	CD19	0
TGFB1	HDAC6	+
CTF1	GRB2	+
LOC100290337	LOC100290337	+
CLTA	CALM1	0
PRKCI	NFKB1	+
MAPK3	FGFR3	-
PSME4	ANAPC11	+
MAPK1	E2F1	+
CCK	CALB1	+
SOCS3	IFNGR1	-
PTH	DKK1	-
WIF1	WNT11	-
HBA2	RPS18	0
PECAM1	ACTA1	+
EPHA3	LZTS1	+
MAP2K7	MAPK10	+
TP73	BBC3	+
RPS18	EIF3A	0
PRKAR2A	MAPK1	-
NR3C1	NR3C1	+
PLAT	MMP9	+
FIZ1	NRL	-
NGF	NFKB1	+
PSMD1	POMP	0
FRA8B	TNF	+
ANAPC7	ANAPC13	+
ROR2	MAPK8	+
SHC1	VAV1	0
CCL19	XCR1	+
PIK3R1	PTPN6	0
SKP1	NFKB2	+
NUP155	SNRPF	+
NOX1	MAPK14	+
NOG	BMP8B	-
PRKCA	GNAS	+
MAPK3	PLA2G12B	+
TGFB1	SFTPA2	-
CCL4L2	CX3CR1	+
IFNG	IL6	+
KAT2B	KLF13	+
IDO1	VAV1	-
RPL37	RPS27	0
BMPR2	ANKS1A	+
CD46	IL10	+
AR	PAK6	0
NUP98	NXF1	+
ATP1BL1	SNORD12C	+
IL6	FGF2	+
HLA-DRB1	SHC2	+
EPS8	SMAD2	0
PSMD9	PSMB6	0
IL1A	IL6	+
SRC	PAK2	+
RAC1	ACTN4	+
MAP2K2	MAPKSP1	0
IL23A	IL24	+
SLC9A1	RDX	+
CASP7	DFFB	+
EIF1	UBC	+
PRKCQ	CHGB	+
PSME4	RAD23B	0
PSMB8	PSMF1	0
ODF2	SSNA1	0
RPS5	RPS18	0
PAK6	MYLK2	-
AKT1	GADD45A	+
MPL	JAK1	+
ZFYVE20	PIK3C3	+
DVL2	ARRB1	0
MRAS	PIK3CG	+
RPL35	RPS23	0
MAP2K1	KSR1	0
JUN	STAT4	0
RPLP1	RPLP2	0
RPLP0	RPS25	0
RPL28	RPS17	0
DUSP1	MAPK3	-
PRKCB	MAPK1	+
PRKAR1B	ITGB1	-
ACVR1	ACVR2B	0
ALMS1	DCTN1	0
CRH	PLOD1	-
TUBB2C	CEP164	0
HDAC2	TERT	-
MYB	NCOR1	0
SUCLA2	NFKB1	+
GNAZ	PXN	-
CDK1	ANAPC7	+
ACTG1	ARPC5L	0
ITGAM	MPO	-
CRH	CRHBP	0
SDC4	ACTN1	0
TLR4	IFNB1	+
PSMB9	PSMC2	0
CKS1A	FBXO6	0
STAT6	COL1A2	+
SMURF1	EGFR	-
PPARG	TRAF2	0
EIF5	UBA52	+
TNF	IRF6	+
TP53	HMMR	-
SAP18	HDAC2	0
GH1	ALPP	+
PLK1	STAG2	+
PSMD12	ANAPC2	+
LBP	NT5E	+
GSK3B	CCND2	-
NCAPD2	NCAPD3	0
CCL7	CCR7	+
PIAS2	STAT1	-
PORCN	WNT3	+
CACNA1F	CACNA1I	0
ETV4	BCKDHB	-
MAPK12	HLCS	+
CTBP1	HEY1	-
MAP2K6	NFKB1	+
PHKG2	PYGB	+
CSNK1E	CP110	0
PTPN6	IL28RA	-
ABL1	EGFR	+
ERCC3	ERCC2	+
TSPAN1	ITGA1	0
STK38	RAD23B	+
TRIP12	PSMC5	0
APAF1	ACTN1	0
TFAP2A	MUC1	-
YWHAZ	RFC3	-
MAPK14	ATF1	+
JUN	CD40LG	+
RAP2B	PLCE1	+
CASP8	ALPI	+
RPS20	UBB	0
HMGB1	HMGB2	0
PLCG1	PLA2G4E	+
RPS3	RPS24	0
POLR2H	POLR3A	0
TUBA4A	OFD1	0
CCL25	CXCR4	+
FOXM1	SKP2	+
GNB2L1	ITGB7	0
CAMK2D	PRKACA	+
TRB@	SHC2	+
RB1	CCNB1	+
SAP18	SUFU	0
CDK5RAP2	HSP90AA1	0
IL2RA	CRKL	+
NOG	GDF6	-
ITGA8	ACTN2	0
RRAGD	RPTOR	-
NUP43	CPSF1	+
EXOC6B	PSMD7	0
GNAO1	AKT3	+
GGA3	COPA	-
PARVA	LOC646048	0
EIF2S3	RPS17	0
LPL	APOC3	+
GRK1	CCR8	+
SOS1	PTPN11	0
EPN1	HGS	+
LOC728622	RBX1	0
TRIP12	PSME4	0
ULK3	ZYX	+
CSF2	CCL2	+
GSK3B	EIF2B5	-
GDNF	SHANK3	0
PLAA	PLA2G2A	+
SPRY1	RASA1	+
CDKN1B	CCNE2	-
JAK2	KIT	0
WNT8A	FZD7	+
RPL26	UBA52	0
PLAU	LRP1	+
PARP1	ZEB1	+
HERPUD2	CCR2	+
CREM	CRH	-
STX1A	CACNA1C	-
CD3G	PRF1	+
SRPK1	MAPK7	+
PDPK1	SGK1	+
ELK1	ID3	0
RELN	ITGB4	+
MLC1	PTK2	0
LCK	GRB2	+
MMP2	RECK	+
RPL36	RPS6	0
CCNA2	CDK6	-
PRKCD	SDC4	+
PSMC1	PSMC3	0
PSMD9	PSMD6	0
GJA1	GJD2	0
RASGRP4	CACNA1S	0
COL6A2	GP6	+
RUNX1T1	CEBPA	-
POLR2C	HDAC9	0
SLA	HCK	-
TRA@	SHC3	+
PTPN6	EGF	+
CAPN2	MARCKS	-
PSMB7	PSME4	0
CCL5	CCR8	+
SNCA	UBB	0
CDK4	STON1	+
ESR1	COL1A2	-
CBLC	EPOR	-
GNG11	PLCB3	+
LAMB3	SV2A	+
MAPK8	NCOA4	+
YKT6	CLTB	+
PSMD4	PSMA4	0
PSMB11	PSMD2	0
CD28	PIK3CG	+
CLK1	PER1	+
PSMA8	PSMB2	0
RPL36	RPL37	0
AKT1	LUC7L2	+
RPS17	RPS15	0
PDGFRB	DOK1	+
TNFRSF1A	CRADD	0
EPHB2	EFNB2	+
STXBP6	SNAP25	-
XCL1	CCR7	+
TIMELESS	CLSPN	0
SRC	TRPV1	+
NUP62	HDAC4	+
PTP4A2	CDKN1A	-
ITGA9	VASP	0
CSNK1G1	FZD5	-
UBXN1	ANAPC5	+
RPL23A	RPS2	0
TERT	CCND1	+
BLNK	PLCG2	0
STAT6	OPRM1	+
PLK4	AZI1	0
MAP3K7IP1	NLK	+
ENG	TGFB3	0
CD28	CD40LG	+
PSMC3	PSME1	0
PRKCA	NFKBIA	+
CLDN22	CLDN10	0
IGF1R	SH3GLB1	0
CREBBP	AR	+
CDK5RAP2	AKAP9	0
FZR1	MYCBP2	+
ALDH1A1	MNAT1	-
GNAQ	MAPK8	+
CHMP5	VPS4B	0
CEP63	PCM1	0
TAF13	TAF11	0
CD14	VCAN	+
MLLT4	CTNNA1	+
UBE3A	BTRC	+
NTF3	MAP2K5	+
RPL31	RPS29	0
TNF	BCL10	+
PKN1	MAP2K3	+
IGHE	SPHK1	+
CTNNA1	ACTN3	0
ADRBK1	CCR10	+
SDCBP	SDC4	0
ODF2	CETN2	0
ITGAD	PTPN2	+
NUP155	NUP205	0
CALML5	ADCY3	+
RBPJL	HES5	+
CEP290	NEDD1	0
INHBB	ACVR2A	+
EIF1	MRPS7	+
PRKAR1A	FN1	-
PAK4	RAF1	+
CCK	MAPK1	+
EIF6	MRPS7	+
CD44	RAC1	+
FGFR1OP	CKAP5	0
PIKFYVE	VCL	0
RPS3A	UBA52	0
PIM1	EIF4B	+
FGR	EPHB1	+
NKD1	DVL1L1	-
NPPA	HSF1	+
SHC2	INSR	0
PPM1A	CACNA1F	0
SRC	ARF6	+
PML	JUP	+
ADAM17	NOTCH4	+
CX3CL1	CCR7	+
INS	SORBS1	+
FYN	PLCG2	+
SMAD4	IGHA1	+
MS4A2	NFATC2	+
IFNG	CCL17	+
COL2A1	SDC2	+
PSMA8	ANAPC2	+
CSF1	CCL2	+
NME1	DNM2	+
RNF125	DDX58	-
SIK2	CRTC2	-
KIT	CBLB	0
ANAPC10	CCNB3	-
RELA	XIAP	+
RPL38	RPS3A	0
CACNA1I	CACNG1	0
ITGAM	CRKL	+
GAST	CALCA	+
TANK	TRAF1	0
SKP1	SKP2	0
AKT1	MDM4	+
RARB	RXRG	0
CDK5	SYNJ1	+
CEP78	TUBG1	0
CHEK2	CDC25C	-
SHC2	MAPK11	+
RPL39L	RPL24	0
MAPKSP1	MAPK1	+
TBXA2R	PIK3R1	+
TRIM28	E2F1	+
CTTN	TJP1	0
RXRB	ACADL	+
ABL1	MCL1	+
CSF3	MMP9	+
YWHAZ	TOPBP1	-
CDK1	CEP57	0
COL4A6	CD44	+
RPS6KB1	CRK	+
CD82	ITGB2	+
NUP98	KPNB1	+
PRKCB	UHMK1	+
NUP88	KPNB1	+
UBC	RPS20	0
F10	F2	+
RXRG	NRIP1	0
NR3C1	TNF	+
CSNK1A1	GSK3A	+
GSK3B	SMARCC2	+
PIAS4	CDKN2B	+
CCL3L3	CXCR4	+
PSMD6	ADRM1	0
TFRC	INHBA	-
PSMD4	PSMD13	0
IL18	IL10	+
PLCB2	PRKCG	0
UBR1	PSMD8	0
FGF4	SDC2	0
NUP214	HDAC1	+
CDC16	CCNB2	-
CUL9	CDC23	0
IDE	PSMD5	0
CMTM3	MAPK1	0
ITGA11	CRKL	+
DTX1	EP300	0
ARRB1	PDE4D	+
IFNA14	PSME3	+
DNAH8	MYH1	+
BTK	ZNF397	+
SKP1	FBXO5	-
CASP5	EIF3A	+
NFKBIE	BTRC	0
SLC10A2	PSMD7	0
IL1B	CSF1	+
POLR2J	HDAC8	0
STAT5B	FABP1	-
MAPK3	PLA2G5	+
MYL9	MYL5	0
HMGB1	TNF	+
CSF2	CDH11	+
CALM2	ADCY3	+
ARAF	IRF3	+
TCF7L2	CCND1	+
GDF9	BMPR2	+
POLA2	POLA2	+
MAPK8	HNF1A	+
FOXG1	FOXO3	0
LGI3	SUCLA2	-
CTSG	AGT	+
EIF4G2	PTBP2	0
TERF2IP	RAF1	-
NTS	PCYT1A	+
CCL24	CCR10	+
TNXB	ITGA4	+
EP300	JUN	0
RANGAP1	RAN	+
ADAR	ILF3	+
POLR2D	ERCC2	0
AR	FOXO1	+
HBA1	RPS5	0
CTBP1	CCND1	-
JUN	CDKN2A	+
LYN	PXN	+
TNF	CREB1	+
TNR	ITGA10	+
ESR1	AP1B1	+
RASGRP1	CACNA1A	0
PPBP	CXCR1	+
PLK4	CP110	0
MTA3	SNAI3	-
MAPK8	AR	+
MDC1	TP53BP1	0
RXRA	RXRB	0
WNT8B	FZD1	+
CCL3L3	CCR4	+
WNT8B	FZD10	+
HSPB1	CDK2	+
SKP2	TCF3	0
CXCR4	CD4	0
ATR	RFC3	0
CTNNB1	IL8	+
MST1R	MET	+
CAMKK1	PRKAA1	+
CLK2	KHDRBS1	+
NFATC3	TNF	+
RXRA	ADIPOQ	+
LAMA5	ITGB3	+
AP1B1	DNM1	+
ASAH1	GALNS	+
MYL12B	MYH9	0
IRF1	IFNB1	+
ECT2	PLK1	+
TNFRSF1B	RIPK1	0
TRPM6	TRPM7	+
UBR1	IDE	0
TP53	SH2D1A	+
IQGAP1	NRAS	-
SMARCE1	GTF2B	+
GTF2H1	XPA	0
ITGA4	ITGB1	0
RPL18A	RPL23A	0
STAT1	TNFRSF1A	0
S1PR1	RHOA	+
GRK7	ADRB1	+
ESR2	GNAL	+
AR	NCOA2	+
PTPN6	SOCS3	-
UBE3A	KLK3	+
KLRC1	PTPN6	+
DLL4	NOTCH2	+
NUP85	SNRPB	+
NCOR1	HES1	-
JUNB	GATA3	+
PFN1	ACTG1	0
DAB2	TGFBR1	0
ACTN2	PIK3CA	+
TRADD	SQSTM1	0
AP2S1	GRB2	+
SNCA	PSMD5	-
KLF5	SREBF1	+
NUP214	NUP98	0
UBE2C	UBE2C	+
PSMD12	UBE3C	0
LAT	WAS	+
SSNA1	SFI1	0
ARHGEF1	MAPK8IP1	0
RASA1	HRAS	-
GNGT1	PIK3C2G	+
CACNA1A	CACNG3	0
S100B	CD247	0
IL2	SOCS3	+
MYC	CDC25A	+
WNT6	MACROD1	+
CDC16	CDC20	0
LAMB3	ITGA11	+
MMP7	CTNND1	+
TP53	HMGB1	+
PRKD1	SHC1	0
FTL	RPS3A	0
PSMD8	PSMD10	0
ATF2	ACHE	+
LOC650621	CCNB1	-
FRK	GTF2I	+
MEF2C	PPARGC1A	+
PSMC4	ANAPC4	+
EGFR	MAP2K1	0
MKNK1	NFATC4	+
PSMD6	PSMB9	0
EIF3A	EIF4G1	0
CREB1	EP300	0
IRAK1	IRF7	+
SMAD7	TGFBR1	-
HGS	HGS	+
PSMA5	CDC20	+
ROCK2	LIMK2	+
MAP3K14	NEUROD1	+
TLR2	SOCS1	+
PSMB3	PSME1	0
RPS5	RPS9	0
RTN4	RTN4R	+
PAK1	KCNIP4	+
CRK	ZAP70	0
SRC	FGF5	-
PPM1F	CAMK2A	-
DDR1	MDFI	+
IFNA1	IL10	+
RAD9A	TIPIN	0
NUP43	GEMIN6	+
LLGL1	RBM39	+
ITGA1	ACTN2	0
BMPR2	GNA12	+
PDGFA	PPBP	+
DCTN1	TUBB4	0
SMURF1	CDK6	+
HLA-B	TAPBP	0
IL2RB	MAPK11	+
PSMB4	CDK2	+
LGALS3	NRAS	-
SLC10A2	SKP1	+
TADA2B	CDKN1A	+
STAT3	SOCS5	+
PRKCA	SFN	+
CLNS1A	GEMIN7	+
FLT4	PRKCZ	+
TNFSF10	PIK3R3	+
IL4	IDO1	-
PTP4A1	RAC1	-
IL12RB1	IL19	+
PSME4	PSMB2	0
BMX	PRKCB	+
CLK2	POLR1C	+
GNAI1	PIK3C2G	+
MAPK8IP3	PTK2	0
PSMD14	SHFM1	0
PRKACB	PRKAR1A	0
HNF4A	APOA1	+
EPS15	EGFR	+
CENPJ	MAPRE1	0
KDR	PIK3R2	+
ADCYAP1	MAPK1	+
ENPEP	IL1A	+
NUP43	SRRM1	+
ELANE	IL8	+
IL2	CD28	+
PSMA2	PSMA8	0
VEGFA	GRB10	+
KAT5	NOTCH2	+
BCL2L2	BIK	-
XIAP	MAPK8	+
RPL39L	RPS5	0
EOMES	PRF1	+
FIGF	IGF1R	+
LHCGR	ARF6	+
CXCR1	JAK3	+
RBP1	GRB2	+
CLK1	ANKS1A	+
RBX1	BTRC	+
TGFB1	ADRBK1	+
PAK6	CDC42	+
RELA	TRAF5	+
PDGFC	RBM39	+
PPP3R2	ANAPC4	+
LAMB3	ITGB7	+
SUMF1	SGSH	+
CD79B	SYK	+
FN1	ITGA7	+
RGS9BP	PDE6C	-
ZCCHC12	FOSB	+
PLAT	BCL2L1	+
EEF1G	EEF1D	0
FOXP3	IL2RA	+
PTPN6	IFNGR1	-
GRB2	RAC1	+
ITGB4	MAPK1	0
NCBP1	RPS9	0
PLCG1	CAMK2A	+
RPL31	RPS19	0
MAPK9	NFATC2	-
PPP3R1	ANAPC4	+
PPP2CA	ARRB2	-
COL1A1	CRKL	+
MYD88	CHUK	+
ITGA1	ACTN4	0
SMAD3	SERPINE1	-
ZAP70	PIK3CA	+
NR1I3	ESR1	-
NFATC1	IFNG	+
FGF14	MET	+
CDC27	MYCBP2	0
MYC	NME2	+
RPL24	RPS8	0
NR3C1	GTF2A1	0
IDE	UBXN1	0
CBL	PIK3R2	0
KLRD1	ISG20	+
UBE3A	SKP1	+
FIGF	FLT4	0
RASSF5	RASSF5	0
PARVB	ITGB3	0
TSLP	STAT5A	+
ADIPOQ	TNF	+
LPAR3	PLD2	+
FGF21	SDC2	0
PRKCD	PLD1	+
ANAPC2	LOC650621	+
CSK	GNA12	+
EIF3A	EIF2S2	0
TYRO3	BMX	+
HNF4A	FOXO1	+
PSMD3	RAD23B	0
CHP2	CALML3	0
PAWR	SLC5A7	-
POMP	PSMA5	0
TOPBP1	E2F1	0
ATP6V1G3	ATP6AP2	+
CHEK2	MDM4	+
PIK3R1	TGFBR2	0
CDKN1A	E2F2	-
SOCS2	IL12RB1	-
PPIA	IL8	-
CCNH	CCNA1	-
CSNK2B	SMAD9	+
PRKACA	NFATC1	-
GDF11	ACVR2B	+
NUP88	SRRM1	+
LAMA3	PIK3CA	+
PRKCZ	AKT1	-
RAC2	NCKAP1L	-
EIF1	RPS8	+
FOXA1	XBP1	+
NCOA1	LPL	+
SPI1	NCKAP1L	+
STAG2	STAG1	0
INADL	CLDN9	0
LAMC1	ITGA1	+
E2F4	TFDP1	0
DYRK4	SART3	+
CDK7	RARA	+
TUBG1	CKAP5	0
SORT1	MAPK9	+
GSK3B	CREB3L4	-
SFRP5	WNT5A	-
NTRK2	BDNF	0
GBF1	RHOA	+
CD28	CD8B	-
CBLB	CSF3R	-
HSPB1	PAAF1	0
IL12B	TBX21	+
CXCL3	CXCR5	+
GTF2H2	TAF4B	0
MYB	CCNA1	+
CACNA1B	CACNA1E	0
JAK2	IL19	+
RPS12	RPS8	0
PI4KB	PI4KA	0
RRAGB	RRAGD	0
SORBS1	SOS1	0
RAP1B	RHOD	+
OCLN	CLDN8	0
INADL	CLDN3	0
E2F1	CDKN2A	-
MYST2	PPP2CA	+
YWHAH	RAF1	0
