Source	Target	Relation
FGFR1	FGF23	0
FGF19	FGFR2	+
TFDP1	CDKN2C	+
FYN	SNCA	+
CAMK2A	SYN1	-
CSNK1D	CTNNB1	+
PSMD7	TRAF6	0
PTK6	NFATC4	+
RPS6KA5	BMX	+
IFNG	TYMS	+
SYK	PSMC3	+
GRAP	KIT	0
CLDN19	TJP1	0
CSF2RB	PTPN6	0
CDK7	SOX10	+
CXCL10	CXCR2	+
CCL27	CXCR4	+
POLB	ERVK2	-
EGFR	PIK3R5	+
NEDD8	CUL1	0
IL15	CLLU1OS	+
NCKAP1L	INHBA	-
EGFR	AP2S1	0
AKT2	BAD	+
TMSL3	ACTG1	0
PSMB7	SLC10A2	0
YWHAE	DYNC1I2	0
IL12RB1	NFKBIA	+
SOCS1	IL7R	-
CCL23	CXCR1	+
MS4A2	LAT	+
CEP63	NDE1	0
PIK3CG	CD40LG	0
RXRG	ACOX3	+
AHR	ABCG2	+
AKT2	RPTOR	+
SMAD4	CDC25A	-
RPS6KB1	NFATC3	+
CEP110	MAPRE1	0
NPAS2	PER2	+
GTF2B	GTF2A1	0
LEPR	PRKAB2	+
STK17A	MDM2	+
DYRK2	LARP6	+
SOS2	HRAS	+
CBLB	FGFR2	-
TFF3	GHR	+
MRPS7	RPL14	0
BLNK	SHC2	+
FRS2	HRAS	+
NFKB2	NOS2	+
RANBP2	SNRPB	+
EDN1	NPPC	-
RASGRP1	CACNA1G	0
FADD	IKBKB	+
PSME3	PSMD10	0
RUNX2	LGALS3	+
MAPK9	IRS2	-
FANCF	C19orf40	0
MAPK8	BRCA1	+
MAX	ZBTB17	0
TNNI3K	CCDC40	+
COL4A4	ITGB7	+
ARHGEF7	EP300	+
PAFAH1B1	NDE1	0
PRKCA	LAMB4	+
COL4A2	ITGB5	+
DCTN3	PLK4	0
IL2RG	SOS1	+
RASA1	STAT3	+
MTG1	RAF1	+
STK17A	RAN	+
TJP3	CLDN6	0
IL2	MUC3A	+
RPL6	RPS15A	0
HSP90AB1	AR	+
MCM2	CDC45L	0
TUBB	CEP57	0
LYN	FOS	-
