Source	Target	Sign	Network
CRP	OLR1	+	SN
CRP	IL6	+	SN
CRTC2	CREB1	+	SN
CRTC2	AKT1	+	SN
CRY2	ARNTL	-	SN
CSF1	CSF2RA	+	SN
CSF1	CSF1R	+	SN
CSF2	CSF2RA	+	SN
CSF2RA	JAK2	+	SN
CSF2RA	STAT5A	+	SN
CSF2RB	SHC1	+	SN
CSF3	CSF2RA	+	SN
CSF3R	JAK2	+	SN
CSF3R	JAK1	+	SN
CSK	YES1	-	SN
CSK	SRC	+	SN
CSK	PTK2	+	SN
CSK	NOTCH1	+	SN
CSK	LCK	+	SN
CSK	FYN	+	SN
CSK	FGR	+	SN
CSNK1A1	LEF1	+	SN
CSNK1A1	YWHAQ	+	SN
CSNK1A1	FADD	-	SN
CSNK1A1	AXIN1	+	SN
CSNK1A1	TP53	+	SN
CSNK1A1	SMO	+	SN
CSNK1A1	PRKN	-	SN
CSNK1A1	NFATC3	-	SN
CSNK1A1	MDM4	+	SN
CSNK1A1	GSK3B	+	SN
CSNK1A1	FOXO1	+	SN
CSNK1A1	CTNNB1	+	SN
CSNK1A1	BID	+	SN
CSNK1A1L	CTNNB1	-	SN
CSNK1D	LEF1	-	SN
CSNK1D	AXIN1	+	SN
CSNK1D	TP53	+	SN
CSNK1D	MDM2	-	SN
CSNK1D	GSK3B	+	SN
CSNK1D	CTNNB1	+	SN
CSNK1G1	FOXO1	+	SN
CSNK1G1	ANK1	-	SN
CSNK2A1	DEK	+	SN
CSNK2A1	STARD10	-	SN
CSNK2A1	CD5	+	SN
CSNK2A1	SEPTIN2	-	SN
CSNK2A1	MAZ	+	SN
CSNK2A1	OCLN	+	SN
CSNK2A1	EIF2B5	+	SN
CSNK2A1	SPTBN1	-	SN
CSNK2A1	IKZF1	-	SN
CSNK2A1	NPHP1	+	SN
CSNK2A1	PRPF3	+	SN
CSNK2A1	FOSB	+	SN
CSNK2A1	RRN3	-	SN
CSNK2A1	CORO1C	+	SN
CSNK2A1	FHOD3	-	SN
CSNK2A1	TFAP2A	+	SN
CSNK2A1	SSB	+	SN
CSNK2A1	SLK	-	SN
CSNK2A1	UBE2R2	+	SN
CSNK2A1	VAMP4	+	SN
CSNK2A1	SPIB	-	SN
CSNK2A1	PPP1R2	+	SN
CSNK2A1	ANP32B	+	SN
CSNK2A1	PDCD5	+	SN
CSNK2A1	CTDP1	-	SN
CSNK2A1	TNFAIP1	+	SN
CSNK2A1	EXOSC9	+	SN
CSNK2A1	SHOX	+	SN
CSNK2A1	PIP4K2A	+	SN
CSNK2A1	EIF5	+	SN
CSNK2A1	AMPH	-	SN
CSNK2A1	CTNNA1	+	SN
CSNK2A1	PTPRC	+	SN
CSNK2A1	CLIP1	+	SN
CSNK2A1	NR1H3	-	SN
CSNK2A1	ABCC1	+	SN
CSNK2A1	GPI	-	SN
CSNK2A1	CARD9	-	SN
CSNK2A1	CFTR	+	SN
CSNK2A1	CDC27	+	SN
CSNK2A1	CDC34	-	SN
CSNK2A1	WAS	+	SN
CSNK2A1	IFI16	+	SN
CSNK2A1	NFATC1	+	SN
CSNK2A1	CAV2	+	SN
CSNK2A1	SNAI1	+	SN
CSNK2A1	PTGES3	+	SN
CSNK2A1	TLE1	+	SN
CSNK2A1	CAPZA1	+	SN
CSNK2A1	PDCL	+	SN
CSNK2A1	RNF7	+	SN
CSNK2A1	JUN	-	SN
CSNK2A1	HMGN1	-	SN
CSNK2A1	SSRP1	-	SN
CSNK2A1	TOP2A	+	SN
CSNK2A1	SRF	+	SN
CSNK2A1	HNRNPC	-	SN
CSNK2A1	SNCA	+	SN
CSNK2A1	HSP90AB1	-	SN
CSNK2A1	TELO2	-	SN
CSNK2A1	XRCC1	+	SN
CSNK2A1	YY1	+	SN
CSNK2A1	KEAP1	-	SN
CSNK2A1	LIG1	+	SN
CSNK2A1	PIAS1	+	SN
CSNK2A1	DDX58	-	SN
CSNK2A1	RELA	+	SN
CSNK2A1	BIK	+	SN
CSNK2A1	SP1	-	SN
CSNK2A1	NFE2L2	-	SN
CSNK2A1	EIF2S2	+	SN
CSNK2A1	TWIST1	+	SN
CSNK2A1	STX1A	+	SN
CSNK2A1	VDR	+	SN
CSNK2A1	HDAC1	+	SN
CSNK2A1	DDIT3	-	SN
CSNK2A1	LEF1	+	SN
CSNK2A1	CBX5	+	SN
CSNK2A1	DAXX	+	SN
CSNK2A1	NFKBIA	+	SN
CSNK2A1	MME	+	SN
CSNK2A1	TP53	+	SN
CSNK2A1	EIF4EBP1	-	SN
CSNK2A1	MAX	-	SN
CSNK2A1	WASF2	-	SN
CSNK2A1	CDC25C	-	SN
CSNK2A1	TTI1	-	SN
CSNK2A1	PML	-	SN
CSNK2A1	MDC1	+	SN
CSNK2A1	CBX1	-	SN
CSNK2A1	MCM2	+	SN
CSNK2A1	ESR1	+	SN
CSNK2A1	HDAC3	+	SN
CSNK2A1	RANGAP1	+	SN
CSNK2A1	MAPK9	+	SN
CSNK2A1	IGFBP3	+	SN
CSNK2A1	HDAC2	+	SN
CSNK2A1	ATF1	+	SN
CSNK2A1	HCLS1	+	SN
CSNK2A1	PTEN	-	SN
CSNK2A1	ARRB2	+	SN
CSNK2A1	GRIN2B	-	SN
CSNK2A1	CTNNB1	+	SN
CSNK2A1	TERF1	+	SN
CSNK2A1	PKD2	+	SN
CSNK2A1	MYH9	+	SN
CSNK2A1	CDH1	+	SN
CSNK2A1	CDK1	+	SN
CSNK2A1	CASP2	-	SN
CSNK2A1	BID	+	SN
CSNK2A1	ARNT	+	SN
CSNK2A1	AKT1	+	SN
CSNK2A2	EIF2B5	+	SN
CSNK2A2	NKX3-1	+	SN
CSNK2A2	NFKBIA	-	SN
CSNK2A2	HSF1	+	SN
CSNK2A2	HDAC2	+	SN
CSNK2A2	HDAC1	+	SN
CSNK2A2	EIF4EBP1	-	SN
CSNK2A2	CTNNB1	+	SN
CSNK2A2	BID	+	SN
CSNK2B	CHEK2	-	SN
CSNK2B	WEE1	+	SN
CSNK2B	TP53	+	SN
CSNK2B	NFKBIA	-	SN
CSNK2B	EIF5	+	SN
CSNK2B	CTNNB1	+	SN
CSNK2B	CHEK1	+	SN
CSNK2B	BID	+	SN
CTBP1	ZEB2	+	SN
CTBP1	BHLHE41	+	SN
CTBP1	ELK3	-	SN
CTCF	NBN	+	GRN
CTCF	CHRNA6	+	GRN
CTCF	RPL39L	+	GRN
CTCF	HS1BP3	+	GRN
CTCF	PPP2R4	+	GRN
CTCF	ACVR1C	+	GRN
CTCF	ZNF462	-	GRN
CTCF	TSFM	+	GRN
CTCF	BICD2	+	GRN
CTCF	LPIN3	+	GRN
CTCF	ACTR3	-	GRN
CTCF	PMPCB	+	GRN
CTCF	ZNF20	+	GRN
CTCF	RPP30	+	GRN
CTCF	AHCYL1	+	GRN
CTCF	ZNHIT2	-	GRN
CTCF	PLXNB3	+	GRN
CTCF	GRIN3A	+	GRN
CTCF	BCL2L14	-	GRN
CTCF	TRAPPC6A	+	GRN
CTCF	TMBIM6	+	GRN
CTCF	NCBP3	+	GRN
CTCF	NFE2L2	+	GRN
CTCF	GALNT6	+	GRN
CTCF	PAGE4	-	GRN
CTCF	ARL2	-	GRN
CTCF	FBXO7	+	GRN
CTCF	B4GALNT1	+	GRN
CTCF	TERT	-	GRN
CTCF	CEP135	+	GRN
CTCF	COL27A1	+	GRN
CTCF	ZNF613	+	GRN
CTCF	IL19	+	GRN
CTCF	MB	+	GRN
CTCF	TRO	-	GRN
CTCF	TYSND1	+	GRN
CTCF	RARRES1	+	GRN
CTCF	S100Z	-	GRN
CTCF	EPHB1	+	GRN
CTCF	PRSS35	+	GRN
CTCF	TSPAN16	+	GRN
CTCF	PPRC1	+	GRN
CTCF	POMT2	+	GRN
CTCF	BCL6	-	GRN
CTCF	MYD88	+	GRN
CTCF	ESRP2	-	GRN
CTCF	HMCN1	+	GRN
CTCF	ZNF763	-	GRN
CTCF	MMP10	-	GRN
CTCF	ANKRD46	+	GRN
CTCF	AKT1	-	GRN
CTCF	LRRC59	+	GRN
CTCF	DMKN	+	GRN
CTCF	ALDH1A3	-	GRN
CTCF	PPARD	+	GRN
CTCF	APP	+	GRN
CTCF	HSPA5	+	GRN
CTCF	ZNF804B	+	GRN
CTCF	DIP2B	+	GRN
CTCF	RBMS3	-	GRN
CTCF	NPC1	-	GRN
CTCF	NES	+	GRN
CTCF	STAB2	-	GRN
CTCF	CD80	+	GRN
CTCF	POU1F1	+	GRN
CTCF	HEBP2	+	GRN
CTCF	MYC	-	GRN
CTCF	KSR1	+	GRN
CTCF	GAS7	+	GRN
CTCF	RBM39	-	GRN
CTCF	MCM10	+	GRN
CTCF	ABCA2	+	GRN
CTCF	GALT	+	GRN
CTCF	C1R	+	GRN
CTCF	MRPL17	+	GRN
CTCF	TNFRSF18	-	GRN
CTCF	GPR156	-	GRN
CTCF	CCL16	+	GRN
CTCF	COMMD2	-	GRN
CTCF	CIDEB	+	GRN
CTDNEP1	LPIN1	+	SN
CTDNEP1	BMPR2	-	SN
CTDNEP1	BMPR1A	+	SN
CTDSP1	SMAD2	+	SN
CTDSP1	TWIST1	-	SN
CTDSP2	SMAD2	+	SN
CTDSPL	SMAD2	+	SN
CTDSPL	RB1	+	SN
CTF1	LIFR	+	SN
CTF1	IL6ST	+	SN
CTNNA1	YAP1	-	SN
CTNNB1	PITX2	+	SN
CTNNB1	TCF4	+	SN
CTNNB1	SMAD7	+	SN
CTNNB1	TCF7L2	+	SN
CTNNB1	DAPK2	-	SN
CTNNB1	EP300	+	SN
CTNNB1	PIK3R1	+	SN
CTNNB1	LEF1	+	SN
CTNNB1	SOX2	-	SN
CTNNB1	NR4A1	+	SN
CTNNB1	TRRAP	+	SN
CTNNB1	HIST1H3F	+	SN
CTNNB1	TCF7	+	SN
CTNNB1	FOXO1	+	SN
CTNNB1	MYOD1	+	SN
CTNNB1	FOXO3	+	SN
CTNNB1	MYC	+	SN
CTNNB1	HNF1A	+	SN
CTNNB1	FOXO4	+	SN
CTNNB1	TCF3	+	SN
CTNNB1	TRPC4	+	SN
CTNNBIP1	CTNNB1	-	SN
CTNND1	RAC1	+	SN
CTNND1	CDH3	+	SN
CTNND1	CDH1	+	SN
CTNND2	ERBIN	+	SN
CTNND2	CDH3	+	SN
CTNND2	CDH1	+	SN
CTSB	BID	+	SN
CTSH	BID	+	SN
CTSK	BID	+	SN
CTSL	BID	+	SN
CTSS	BID	+	SN
CUL1	CTNNB1	-	SN
CUL1	CDKN1B	+	SN
CUL4A	TSC2	+	SN
CUX1	ECT2	-	GRN
CUX1	RACGAP1	-	GRN
CXCL1	ACKR1	+	SN
CXCL12	ACKR3	+	SN
CXCL12	CXCR3	+	SN
CXCL12	CXCR4	+	SN
CXCL8	CXCR1	+	SN
CXCL8	CXCR2	+	SN
CXCR4	PIK3CG	+	SN
CXCR4	PPIA	+	SN
CXCR4	JAK3	+	SN
CXCR4	JAK2	+	SN
CYCS	CASP9	+	SN
CYCS	APAF1	+	SN
CYLD	BCL3	-	SN
CYLD	IKBKG	-	SN
CYLD	TRAF6	+	SN
CYLD	TRAF2	-	SN
DAAM1	RAC1	+	SN
DAAM1	RHOA	+	SN
DAB1	NOTCH1	+	SN
DAB2	SMAD2	+	SN
DAB2	TGFBR2	+	SN
DAB2	TGFBR1	+	SN
DAB2	DVL3	+	SN
DAB2IP	STAT3	-	SN
DAB2IP	PIK3R1	-	SN
DAB2IP	PIK3CA	-	SN
DAB2IP	NRAS	-	SN
DAB2IP	KRAS	-	SN
DAB2IP	JAK2	-	SN
DAB2IP	HRAS	-	SN
DAB2IP	GSK3B	+	SN
DAB2IP	ERN1	+	SN
DAB2IP	AR	-	SN
DACT2	TGFBR1	-	SN
DAP3	CYCS	+	SN
DAPK1	MYL12A	+	SN
DAPK1	MCM3	+	SN
DAPK1	DAPK3	+	SN
DAPK1	RPS6	-	SN
DAPK1	TLN1	-	SN
DAPK1	MARK2	+	SN
DAPK1	MAPK1	-	SN
DAPK1	TSC2	+	SN
DAPK1	BECN1	+	SN
DAPK1	ITGA3	-	SN
DAPK1	STX1A	-	SN
DAPK1	CAMKK2	-	SN
DAPK1	PKM	+	SN
DAPK1	MARK1	+	SN
DAPK1	TP53	+	SN
DAPK1	MAPK3	-	SN
DAPK1	MAP1B	+	SN
DAPK1	MAPK6	-	SN
DAPK1	PIN1	-	SN
DAPK1	STX3	-	SN
DAPK1	PRKD1	+	SN
DAPK1	TPM1	+	SN
DAPK1	CDKN2A	+	SN
DAPK1	BCL2	-	SN
DAPK3	PPP1R14A	+	SN
DAPK3	MYL12A	+	SN
DAPK3	NR3C1	+	SN
DAPK3	RPL13A	+	SN
DAPK3	TP53	+	SN
DAPK3	PPP1R12A	-	SN
DAPK3	MYL5	+	SN
DAPK3	MDM2	+	SN
DAPK3	MYL9	+	SN
DAPK3	CDKN1A	+	SN
DAPK3	AR	+	SN
DAXX	TGFBR2	+	SN
DAXX	MDM2	+	SN
DCLRE1B	TERF2	+	SN
DDB1	E2F1	+	SN
DDB2	E2F1	+	SN
DDB2	CDKN1A	-	SN
DDIT3	BCL2L11	+	SN
DDIT3	BCL2	-	GRN
DDIT3	TRIB3	+	GRN
DDIT3	ASNS	-	GRN
DDIT3	TNFRSF10B	+	SN
DDR1	SHC1	+	SN
DDR2	SHC1	+	SN
DDX17	MDM2	+	SN
DDX17	ESR1	+	SN
DDX5	TP53	+	SN
DDX5	HDAC1	+	SN
DDX5	AR	+	SN
DDX58	TRAF3	-	SN
DDX58	TBK1	+	SN
DENND4A	BRD7	-	SN
DEPTOR	MTOR	-	SN
DHH	PTCH1	+	SN
DHX58	TRAF3	-	SN
DHX58	TBK1	-	SN
DIABLO	CASP9	+	SN
DIABLO	BIRC5	-	SN
DIABLO	XIAP	+	SN
DIAPH1	CDH4	+	SN
DISP1	SHH	+	SN
DISP2	SHH	+	SN
DKK1	KREMEN1	+	SN
DLC1	BCL2L11	-	SN
DLG1	GRIK1	-	SN
DLGAP1	NOS1	+	SN
DLK1	NOTCH2	+	SN
DLK1	NOTCH1	-	SN
DLK2	NOTCH1	-	SN
DLL1	NOTCH2	+	SN
DLL1	NOTCH1	+	SN
DLL3	NOTCH2	+	SN
DLL3	NOTCH1	+	SN
DLL4	NOTCH4	+	SN
DLL4	NOTCH3	+	SN
DLL4	NOTCH2	+	SN
DLL4	NOTCH1	+	SN
DNAJA3	IKBKB	-	SN
DNAJB1	HSF1	+	SN
DNAJC3	EIF2AK4	-	SN
DNER	NOTCH1	+	SN
DNMT1	MSH2	+	GRN
DNMT1	TIMP3	-	GRN
DOK4	SRC	+	SN
DOK4	FYN	+	SN
DOK4	CRK	+	SN
DOK7	MUSK	+	SN
DOT1L	HIST1H3F	+	SN
DOT1L	MYC	+	SN
DPYSL2	TUBA1A	+	SN
DRD3	GRB2	+	SN
DTX1	ASCL1	-	SN
DTX1	NOTCH1	+	SN
DTX1	EP300	+	SN
DTX4	TBK1	-	SN
DUSP1	MAPK8	+	SN
DUSP1	MAPK3	+	SN
DUSP10	MAPK14	-	SN
DUSP10	MAPK9	-	SN
DUSP10	MAPK10	-	SN
DUSP10	MAPK8	+	SN
DUSP14	MAPK3	-	SN
DUSP16	MAPK8IP1	+	SN
DUSP16	MAPK8	-	SN
DUSP18	ITGB8	+	SN
DUSP18	ITGB4	+	SN
DUSP19	MAPK8	+	SN
DUSP22	ESR1	-	SN
DUSP26	MAPK14	-	SN
DUSP26	FADD	-	SN
DUSP26	TP53	-	SN
DUSP3	MAPK8	+	SN
DUSP3	MAPK3	-	SN
DUSP3	ERBB2	-	SN
DUSP3	EGFR	-	SN
DUSP4	MAPK8	+	SN
DUSP4	MAPK1	+	SN
DUSP4	MAPK14	-	SN
DUSP4	MAPK3	+	SN
DUSP4	MAPK9	-	SN
DUSP5	MAPK3	+	SN
DUSP6	MAPK3	+	SN
DUSP6	FOXO1	+	SN
DUSP8	MAPK8	-	SN
DUSP9	MAPK8	-	SN
DUSP9	MAPK1	+	SN
DUSP9	MAPK14	-	SN
DUSP9	MAPK3	+	SN
DUSP9	MAPK9	-	SN
DVL1	AXIN1	-	SN
DVL1	ROCK1	+	SN
DVL1	RAC1	+	SN
DVL1	JUN	+	SN
DVL1	GSK3B	-	SN
DVL1	CTNNB1	+	SN
DVL1	APC	-	SN
DVL2	AXIN1	+	SN
DVL2	RAC1	+	SN
DVL3	PIP5K1A	+	SN
DVL3	RAC1	+	SN
DVL3	TPTEP2-CSNK1E	+	SN
DVL3	FRAT1	+	SN
DYNLL1	AMBRA1	-	SN
DYNLL1	BCL2L11	-	SN
DYNLL2	BMF	-	SN
DYNLL2	AMBRA1	-	SN
DYRK1A	SF3B1	+	SN
DYRK1A	TP53	+	SN
DYRK1A	NOTCH1	-	SN
DYRK1A	GLI1	+	SN
DYRK1A	FOXO1	+	SN
DYRK1A	CCND1	-	SN
DYRK1B	HNF1A	+	SN
DYRK1B	CCND1	-	SN
DYRK2	TP53	+	SN
DYRK2	JUN	-	SN
DZIP3	SSRP1	-	SN
E2F1	PTTG1	+	GRN
E2F1	DBF4	+	GRN
E2F1	XPC	+	GRN
E2F1	EED	+	GRN
E2F1	XRCC1	+	GRN
E2F1	TP73	+	GRN
E2F1	MYBL2	+	GRN
E2F1	DAPK2	+	GRN
E2F1	DTL	+	GRN
E2F1	CCNB1	+	GRN
E2F1	RELA	+	GRN
E2F1	HIC1	+	GRN
E2F1	DDB2	+	GRN
E2F1	RPA2	+	SN
E2F1	HDAC1	+	GRN
E2F1	PPM1D	+	GRN
E2F1	EZH2	+	SN
E2F1	MAP3K5	+	SN
E2F1	TP53INP1	+	GRN
E2F1	HSPA5	-	GRN
E2F1	POLA1	+	GRN
E2F1	PCNA	+	GRN
E2F1	RAD51	+	GRN
E2F1	FGFR1	+	GRN
E2F1	CHEK1	+	GRN
E2F1	CDKN2A	+	GRN
E2F1	CDKN1A	+	GRN
E2F1	CASP7	+	GRN
E2F1	CASP3	+	GRN
E2F1	APAF1	+	GRN
E2F1	CDKN1C	+	SN
E2F1	FOXM1	+	GRN
E2F1	JUN	+	GRN
E2F1	DHFR	+	SN
E2F1	AXIN2	+	GRN
E2F1	CDT1	+	GRN
E2F1	RBM38	+	SN
E2F1	TOP2A	+	GRN
E2F1	YBX3	+	GRN
E2F1	MCM8	+	GRN
E2F1	CTNNBIP1	+	SN
E2F1	ETV4	+	GRN
E2F1	BBC3	+	SN
E2F1	SERPINE1	-	SN
E2F1	MYB	+	GRN
E2F1	ISYNA1	+	GRN
E2F1	XRCC1	+	GRN
E2F1	POLD1	+	GRN
E2F1	DRAM1	+	SN
E2F1	ASF1B	+	GRN
E2F1	TP73	+	GRN
E2F1	HOXB9	+	GRN
E2F1	HMGA1	+	SN
E2F1	PTPRO	+	GRN
E2F1	POLE2	+	GRN
E2F1	KIF2C	+	SN
E2F1	CDAN1	+	GRN
E2F1	MCM6	+	GRN
E2F1	MYBL2	+	GRN
E2F1	BIRC5	+	GRN
E2F1	PNRC2	-	GRN
E2F1	CCND1	+	GRN
E2F1	ERCC1	+	GRN
E2F1	MEFV	+	GRN
E2F1	UHRF1	+	SN
E2F1	PPARG	+	GRN
E2F1	DTL	+	GRN
E2F1	MAP1LC3A	+	SN
E2F1	SP3	-	GRN
E2F1	MAPK1	+	GRN
E2F1	RELA	+	GRN
E2F1	MYCN	+	GRN
E2F1	HIC1	+	GRN
E2F1	TNFSF11	+	GRN
E2F1	BRCA1	+	GRN
E2F1	TYMS	+	GRN
E2F1	RRM1	+	GRN
E2F1	SP1	+	GRN
E2F1	RRP1B	+	GRN
E2F1	DUSP1	+	GRN
E2F1	FHIT	-	SN
E2F1	AR	-	GRN
E2F1	TP53BP2	+	GRN
E2F1	ECT2	+	GRN
E2F1	PPP1R13B	+	GRN
E2F1	RASGRP1	+	GRN
E2F1	CCNA2	+	GRN
E2F1	TERT	-	GRN
E2F1	CDK1	+	GRN
E2F1	FGFR1	+	GRN
E2F1	CTNND2	+	GRN
E2F1	ATG10	+	GRN
E2F1	CDKN2A	+	GRN
E2F1	DIRAS3	-	SN
E2F1	CDCA4	+	GRN
E2F1	WWOX	-	GRN
E2F1	FANCD2	+	GRN
E2F1	CD2AP	+	GRN
E2F1	IRF3	-	GRN
E2F1	BIN1	+	SN
E2F1	PCSK6	+	GRN
E2F1	MCM5	+	GRN
E2F1	TP53	+	GRN
E2F1	CDCA7	+	GRN
E2F1	RACGAP1	+	GRN
E2F1	HIST1H2AG	+	SN
E2F1	AURKA	+	GRN
E2F1	FANCA	+	GRN
E2F1	RRM2	+	GRN
E2F1	FBXO43	+	SN
E2F1	MAP1LC3B	+	GRN
E2F1	CDKN2C	+	GRN
E2F1	MAP3K5	+	SN
E2F1	TK1	+	GRN
E2F1	VEGFA	-	GRN
E2F1	E2F6	+	SN
E2F1	ZNF350	-	GRN
E2F1	CDC6	+	GRN
E2F1	ATM	+	GRN
E2F1	SKP2	+	GRN
E2F1	MCM7	+	GRN
E2F1	BMI1	+	SN
E2F1	PLK4	+	SN
E2F1	ULK1	+	GRN
E2F1	HSPA5	-	GRN
E2F1	NCOA3	+	GRN
E2F1	MDM2	-	GRN
E2F1	BCL2	+	GRN
E2F1	POLA1	+	GRN
E2F1	CCND3	+	GRN
E2F1	KDR	+	GRN
E2F1	RASGEF1B	+	GRN
E2F1	CASP7	+	GRN
E2F1	PDK4	+	GRN
E2F1	APAF1	+	GRN
E2F1	MYC	+	GRN
E2F1	TOP1	+	SN
E2F1	B4GALT1	+	GRN
E2F1	MCM10	+	SN
E2F1	CDC45	+	GRN
E2F1	FLT1	+	GRN
E2F1	ZEB1	+	GRN
E2F1	NPAT	+	SN
E2F1	CCNE1	+	GRN
E2F1	SIAH1	+	GRN
E2F1	RB1	+	GRN
E2F1	THBS1	+	GRN
E2F1	KIF23	+	GRN
E2F1	MCPH1	+	GRN
E2F1	RAD51	+	GRN
E2F1	MUC4	+	SN
E2F1	DNMT1	+	GRN
E2F1	KIR3DL1	+	GRN
E2F1	GMNN	+	GRN
E2F1	FBXO5	+	GRN
E2F1	CDKN1A	+	GRN
E2F1	HELLS	+	GRN
E2F1	MT1G	+	GRN
E2F1	PLK1	+	GRN
E2F1	CDC25A	+	GRN
E2F2	EED	+	GRN
E2F2	CCNB1	+	SN
E2F2	EZH2	+	GRN
E2F2	PCNA	+	GRN
E2F2	CDKN2A	+	GRN
E2F2	CDT1	+	SN
E2F2	ASF1B	+	GRN
E2F2	MCM6	+	GRN
E2F2	MYCN	+	SN
E2F2	CDCA4	+	SN
E2F2	E2F1	+	GRN
E2F2	MCM5	+	GRN
E2F2	CDCA7	+	GRN
E2F2	MAP3K5	+	GRN
E2F2	CDC6	+	GRN
E2F2	MCM7	+	GRN
E2F2	PLK4	+	SN
E2F2	MCM10	+	GRN
E2F2	PLK1	+	GRN
E2F3	CCNB1	+	GRN
E2F3	CDKN2A	+	SN
E2F3	MCM6	+	GRN
E2F3	MYCN	+	GRN
E2F3	TP53BP2	+	GRN
E2F3	CDKN2A	+	SN
E2F3	E2F1	+	GRN
E2F3	MCM5	+	GRN
E2F3	AURKA	+	GRN
E2F3	MAP3K5	+	GRN
E2F3	CDC6	+	GRN
E2F3	MCM7	+	GRN
E2F3	CDKN1A	+	GRN
E2F3	PLK1	+	GRN
E2F4	CDT1	+	GRN
E2F4	CDK1	-	GRN
E2F4	JUN	+	GRN
E2F4	HCFC1	+	GRN
E2F4	CDT1	+	GRN
E2F4	POLD1	+	GRN
E2F4	ASF1B	+	GRN
E2F4	KIAA0101	-	GRN
E2F4	CCND1	+	GRN
E2F4	PPARG	-	SN
E2F4	TOPBP1	-	GRN
E2F4	BRCA1	-	GRN
E2F4	P4HA2	-	GRN
E2F4	CDK1	+	GRN
E2F4	DIRAS3	-	GRN
E2F4	CDCA4	+	GRN
E2F4	E2F1	-	GRN
E2F4	MCM5	+	GRN
E2F4	SLC2A13	+	GRN
E2F4	CDCA7	+	GRN
E2F4	IKBKG	-	GRN
E2F4	CDKN2C	+	GRN
E2F4	MAP3K5	+	SN
E2F4	TK1	+	GRN
E2F4	CDC6	+	GRN
E2F4	KATNAL1	-	GRN
E2F4	LUC7L	-	GRN
E2F4	MCM7	+	GRN
E2F4	MCM10	-	GRN
E2F4	NPAT	+	GRN
E2F4	TTK	-	GRN
E2F4	RAD51	-	GRN
E2F4	GMNN	+	GRN
E2F4	FBXO5	+	GRN
E2F4	PLK1	-	GRN
E2F4	CDC25A	+	GRN
E2F6	CBX5	-	GRN
E2F6	RBBP8	-	GRN
E2F6	UXT	-	SN
E2F6	BRCA1	-	GRN
E2F6	BRCA1	-	GRN
E2F6	DEPDC5	-	SN
E2F6	E2F1	-	GRN
E2F6	RBBP8	-	GRN
E2F6	RBBP4	-	SN
E2F6	APAF1	-	SN
E2F7	SP1	-	GRN
E2F7	E2F1	-	GRN
E2F8	E2F1	-	GRN
E4F1	TP53	+	SN
E4F1	CCNA2	-	GRN
ECE1	EDN1	+	SN
ECSIT	MAP3K1	+	SN
ECT2	CDC42	+	SN
ECT2	RHOA	+	SN
EDN1	EDNRB	+	SN
EDN1	EDNRA	+	SN
EDN2	EDNRA	+	SN
EDN3	EDNRB	+	SN
EDNRA	GNA13	+	SN
EDNRA	GNAQ	+	SN
EEF1E1	ATR	+	SN
EFNA1	EPHA8	+	SN
EFNA1	EPHA5	+	SN
EFNA1	EPHA1	+	SN
EFNA1	EPHA6	+	SN
EFNA1	EPHA3	+	SN
EFNA1	EPHA7	+	SN
EFNA1	EPHA4	+	SN
EFNA1	EPHA2	+	SN
EFNA2	EPHA6	+	SN
EFNA2	EPHA2	+	SN
EFNA3	EPHA8	+	SN
EFNA3	EPHA5	+	SN
EFNA3	EPHA3	+	SN
EFNA3	EPHA7	+	SN
EFNA3	EPHA4	+	SN
EFNA3	EPHA2	+	SN
EFNA4	EPHA5	+	SN
EFNA4	EPHA2	+	SN
EFNA5	EPHA3	+	SN
EFNA5	EPHA2	+	SN
EGF	ERBB2	+	SN
EGF	EGFR	+	SN
EGFR	SCAMP3	+	SN
EGFR	PIK3C2B	+	SN
EGFR	EPS15	+	SN
EGFR	PKIA	+	SN
EGFR	WASF1	+	SN
EGFR	PTK2B	+	SN
EGFR	GRAP	+	SN
EGFR	LRIG1	+	SN
EGFR	HGS	+	SN
EGFR	SHC2	+	SN
EGFR	GSTP1	+	SN
EGFR	NCK2	+	SN
EGFR	VAV2	+	SN
EGFR	SHC3	+	SN
EGFR	PLD2	+	SN
EGFR	PRKDC	+	SN
EGFR	STAT5B	+	SN
EGFR	MUC1	+	SN
EGFR	STAT3	+	SN
EGFR	ERBB3	+	SN
EGFR	PTPN11	+	SN
EGFR	CBL	+	SN
EGFR	ERBB2	+	SN
EGFR	PIK3R1	+	SN
EGFR	EZR	+	SN
EGFR	SHC1	+	SN
EGFR	JAK1	+	SN
EGFR	GAB1	+	SN
EGFR	GRB2	+	SN
EGFR	STAT1	+	SN
EGFR	PTK2	+	SN
EGFR	NCK1	+	SN
EGFR	CTNND1	-	SN
EGFR	ESR1	+	SN
EGFR	STAT5A	+	SN
EGFR	RGS16	+	SN
EGFR	MAP2K1	+	SN
EGFR	PCNA	+	SN
EGFR	HDAC6	-	SN
EGFR	CAV1	+	SN
EGFR	EPB41	+	SN
EGFR	PTPN1	+	SN
EGFR	ANXA1	+	SN
EGFR	TRPV3	+	SN
EGFR	PLCG1	+	SN
EGFR	E2F1	+	SN
EGFR	CRK	+	SN
EGFR	CDH1	+	SN
EGFR	CASP3	+	SN
EGFR	CCND1	+	SN
EGLN1	HIF1A	+	SN
EGR1	TP53	+	GRN
EGR1	TGFB1	+	GRN
EGR1	PTEN	+	GRN
EGR1	PPARG	+	GRN
EGR1	PDGFB	+	GRN
