COSMIC_ID,Drug_1032_IC50
908457,1.148695
753614,-2.475999
735784,2.023821
909729,2.228827
946357,1.546277
907295,2.328692
906847,1.208492
907787,1.066239
910919,0.848034
905975,2.234441
905946,3.625707
1240137,2.924992
907311,1.04329
907318,1.011216
1298223,1.654318
909785,-0.199724
905948,1.959552
906763,0.264044
910943,3.132273
905990,2.76842
909698,1.636601
684057,1.320712
949157,1.799798
949164,0.872979
949167,1.106431
1240162,-2.215752
907272,0.673671
907286,3.209127
908125,3.791848
908141,1.160294
687802,0.716637
925347,3.498439
907044,1.028847
1240144,1.686935
1290908,0.863882
753624,1.856072
909255,1.358834
907061,0.404034
908458,2.863357
907323,1.627859
906792,1.834321
1303900,1.083131
905957,1.439695
684052,2.068806
1290807,2.782532
1503367,2.713813
908159,0.768524
906696,1.995939
753594,1.159343
1480362,5.142402
1509073,2.280268
1660036,2.763595
753538,-0.490097
1240222,0.725472
910915,1.76454
949168,2.192666
905964,1.389594
924111,0.309471
753572,2.222548
907783,1.00939
1298348,0.47483
907794,1.556601
909732,2.169003
910704,-1.595518
1240181,1.13035
910706,1.00905
909781,5.160946
910853,0.712185
907291,0.640719
1290922,0.326535
1298136,2.882792
1298218,2.592621
1330947,0.48651
910947,1.521535
1503363,2.572103
907269,0.557418
910933,2.54638
910548,3.369982
907053,1.340562
1247871,1.871938
908136,2.060299
1240215,2.674895
906836,-0.009836
905965,0.313841
906848,1.22695
908467,1.735392
724878,4.54287
1331045,1.632915
909975,3.520301
906812,1.072149
909703,1.20175
1299052,0.159671
688086,1.759822
924102,2.184346
1240128,1.733426
1290797,0.866421
905935,3.458345
906846,1.100823
909719,2.894206
908121,1.049245
1240136,3.86649
907050,4.426499
905973,3.691617
724869,2.442124
1290722,2.786321
907312,2.066205
907321,0.689289
753575,0.011489
909904,2.535585
753552,-2.534574
906855,1.902638
949163,1.601224
907043,0.663378
1327766,1.781526
907273,1.30232
905934,4.52368
1240122,2.744397
724834,2.906479
1240190,2.292302
908130,3.927774
910948,3.117772
1330950,1.373352
1240172,4.451684
1240173,1.892428
1240158,2.3739
908463,3.865986
749714,2.3266
907048,2.241723
1298357,0.775173
753562,0.808594
909725,2.963687
909731,2.22421
910920,1.424674
753573,-0.381528
753574,0.250065
906793,1.732498
908473,-0.520139
1298537,1.758796
909701,0.431386
907299,1.811374
906999,2.21732
1503362,1.104481
908158,1.042834
909747,5.79223
1659818,1.590824
909761,2.240619
924107,-3.356931
713880,1.828133
909784,2.86439
907173,4.521009
909256,-1.076414
753612,3.133781
688121,3.180962
1290771,4.271923
1290795,1.600661
906864,2.475086
1303896,0.81737
906875,2.111066
906790,1.377059
907277,0.277439
905960,1.678167
722046,0.732829
1503361,1.428589
924100,2.433064
1327773,1.389028
908149,1.515064
949171,2.264127
753548,-0.301152
1297446,0.973967
1240160,4.182458
687514,0.388264
909260,1.066921
910905,3.229012
1298531,-0.749356
910692,2.65271
1240134,2.189418
907298,1.49067
1298365,1.129451
1479988,2.919657
907055,1.703505
925341,2.194732
909755,2.357007
909776,3.158106
1290765,1.843657
905952,0.66688
1290769,3.387408
1299078,1.840587
687452,-0.036451
910850,4.681654
905959,1.554273
687980,1.487749
906863,-0.780914
906865,1.860071
906868,1.791026
753592,1.85616
908143,1.954444
909713,2.456232
906834,1.324206
906832,0.767433
910922,0.839724
1290798,1.015272
910703,1.498794
905955,1.896837
949153,0.935511
907067,1.424334
907275,0.951456
908470,1.948311
907060,1.94857
1295741,0.957508
1330933,1.049986
687562,1.20003
