3576	2778
2740	1196
2346	287
3003	1708
208	213
480	1166
622	4570
4350	3811
3557	5937
4795	4843
700	3706
5853	4390
2683	788
1968	409
2006	1153
2017	1687
134	770
3842	2829
6015	4692
3062	2412
1854	2561
3637	3638
5385	3844
3102	527
85	806
3707	3701
2551	649
3174	1608
5708	2648
4659	5031
3523	2293
6043	924
285	4833
5868	209
4792	4805
4571	4815
4280	28
1045	6086
660	68
2628	1165
5494	3382
1035	5577
508	5535
5735	4367
4795	2592
1527	421
2601	2766
2939	3110
2158	203
4940	1975
3759	927
1152	1665
342	345
3280	4550
1876	1867
1862	1878
5518	894
1957	5179
649	5407
1201	1233
4386	5703
4424	3549
4799	520
2550	5818
5406	4370
2181	2855
1026	5576
1191	4440
883	5235
1260	1272
733	1274
4131	1717
1581	4011
3513	1250
2608	1049
3477	2678
1581	247
179	430
5611	61
4365	5074
6042	1526
2603	3559
5214	2663
729	1271
3332	2926
928	3494
4005	807
4843	45
153	15
179	4808
5135	840
4801	3548
920	3156
3631	3943
2229	2227
2950	4281
5358	3212
1532	2923
5231	2439
699	1878
5525	2061
3329	4729
500	5030
1939	2439
3558	3618
4545	5195
1556	3643
4572	609
1772	2590
4391	4376
4833	2954
3150	2720
1790	566
3146	529
3174	6053
5659	711
1095	2752
330	1665
3816	3494
4292	2915
1093	2750
1354	4097
2648	5230
4564	5343
3353	4533
5358	4542
5578	1034
2628	3364
4755	4771
2461	285
3197	850
5793	927
3062	1911
3387	1772
2743	1165
69	5278
4381	844
5284	454
4835	3479
782	5926
1391	4336
5859	1010
1520	847
1153	1992
2472	839
2619	2618
2194	2022
4866	2664
994	2716
2911	2751
1974	5030
2078	4400
922	6043
1012	925
3830	4618
1938	4835
3673	285
4322	680
2779	697
4156	2233
5401	2269
177	113
5284	1750
2533	2933
5200	5203
922	5803
2078	3358
1203	5308
4417	4594
5618	3110
1632	1628
1935	3618
4757	4732
4742	4761
4619	1803
2097	805
6043	6045
5217	2644
2687	4298
3297	3292
1291	153
706	5135
1897	2746
4539	4815
286	3346
3668	4631
1262	773
4241	1233
4538	847
5142	5149
2745	69
662	1899
3472	1504
2045	2047
1695	1694
2968	2767
2898	3990
3541	5432
609	4201
3394	3006
3992	4876
4423	2793
4391	4366
5341	1260
5245	2750
6026	1705
700	1702
3557	5614
4154	2234
4474	161
4155	4162
4189	30
1475	2292
747	5980
1676	2293
1905	2684
476	699
4364	553
2101	2107
2624	680
2292	3916
5030	2646
5664	2730
680	2908
414	416
4812	3357
