PSMD7	TRAF6
PTK6	NFATC4
RPS6KA5	BMX
IFNG	TYMS
SYK	PSMC3
GRAP	KIT
CLDN19	TJP1
CSF2RB	PTPN6
CDK7	SOX10
CXCL10	CXCR2
CCL27	CXCR4
POLB	ERVK2
EGFR	PIK3R5
NEDD8	CUL1
IL15	CLLU1OS
NCKAP1L	INHBA
EGFR	AP2S1
AKT2	BAD
TMSL3	ACTG1
PSMB7	SLC10A2
YWHAE	DYNC1I2
IL12RB1	NFKBIA
SOCS1	IL7R
CCL23	CXCR1
MS4A2	LAT
CEP63	NDE1
PIK3CG	CD40LG
RXRG	ACOX3
AHR	ABCG2
AKT2	RPTOR
SMAD4	CDC25A
RPS6KB1	NFATC3
CEP110	MAPRE1
NPAS2	PER2
GTF2B	GTF2A1
LEPR	PRKAB2
STK17A	MDM2
DYRK2	LARP6
SOS2	HRAS
CBLB	FGFR2
TFF3	GHR
MRPS7	RPL14
BLNK	SHC2
FRS2	HRAS
NFKB2	NOS2
RANBP2	SNRPB
EDN1	NPPC
RASGRP1	CACNA1G
FADD	IKBKB
PSME3	PSMD10
RUNX2	LGALS3
MAPK9	IRS2
FANCF	C19orf40
MAPK8	BRCA1
MAX	ZBTB17
TNNI3K	CCDC40
COL4A4	ITGB7
ARHGEF7	EP300
PAFAH1B1	NDE1
PRKCA	LAMB4
COL4A2	ITGB5
DCTN3	PLK4
IL2RG	SOS1
RASA1	STAT3
MTG1	RAF1
STK17A	RAN
TJP3	CLDN6
IL2	MUC3A
RPL6	RPS15A
HSP90AB1	AR
MCM2	CDC45L
TUBB	CEP57
LYN	FOS
MYD88	FADD
ITGAV	CRK
ACTN4	SPTAN1
PSMD2	CDC27
SRC	BCAR1
RUVBL1	NCL
CD19	VAV2
DEPDC6	PRR5
UBQLN1	CKS1B
DVL1	CDC42
CREBBP	GADD45A
HSPB1	CDC23
IL18RAP	IL18R1
GRIK1	GCC1
SAA1	IL8
CHUK	IRF7
LAMA5	ITGB6
GAB1	SHC2
GLI1	PTCH1
CEP152	YWHAG
CLASP1	CEP290
PAPOLA	REL
FRK	RUVBL1
NR5A1	AR
PRNP	CASP3
JUNB	CBFB
POLR2I	GTF2F2
SUZ12	H3F3B
AKT1	ADI1
SRC	EZR
IFNA1	LBR
SNRPD3	SNRPG
CEP152	TUBG1
GLI1	MTSS1
CSNK1G1	SRXN1
PTGS2	RBM39
TNFRSF10B	MAP3K1
EIF4EBP3	EIF4E
FRA8B	NOS2
RPL7A	RPL19
RPL3	RPLP2
RELA	FAT1
GNAI1	CD4
YWHAG	YWHAQ
SOCS4	IL28RA
INS	PRKCI
MMP7	MMP2
CYP1A1	AHR
CBX5	SMAD4
FLNA	ITGB2
RALGDS	RRAS2
ARAF	MTA1
NR3C1	RETN
CXCL12	CCR9
PPP2R5D	CTNNB1
RALBP1	CDC42
SMARCA4	SMARCD1
ITGB1	ACTN4
CAPN3	FLNC
NCF2	DUOX2
GEMIN5	GEMIN7
EPS15L1	EPS15
LIFR	JAK3
KRT18	PIAS2
NF1	TAF1
CACNA1G	PPM1A
MYH10	LOC646821
PIAS4	SAP30
PTK2B	KCNIP1
PSME3	PSMB8
STAT1	CXCL10
SP3	ITGB5
XPA	ERCC2
CBLC	ERBB4
NFKB1	TNFAIP3
POLR2G	GTF2H1
PYCARD	AIM2
POLR2H	POLR3D
PPARA	ACADM
DOK1	HCK
CCNB1	WEE1
EPHA3	HCLS1
FLT4	INPP5J
BCR	CBLB
PSMB6	BTRC
GNAO1	GNB1
IL1R2	CASP3
HCK	PDGFD
SHC2	IL2RA
TNXB	ITGA2
CASP3	LAMA2
AVP	AVPR1B
RRAGC	MTOR
PEBP1	NFKBIA
ERBB2	PDCD4
E2F1	RB1
RBL2	TFDP1
RPS13	EIF3A
PDGFRA	SHC2
NUP35	CPSF2
C17orf70	FANCG
CFB	ADRBK1
RNF41	BIRC6
MAPK13	MEF2A
UBE3A	PSMD6
PRKACB	RAP1B
EPHA8	FYN
RPL37	RPS14
HIPK1	MDM4
GH1	CISH
MAPK3	PRKCD
SMAD4	CREBBP
CD3D	HLA-A
PSMD12	RAD23B
UBC	UBB
IQGAP1	SEPT2
ITGA7	PARVA
INHBB	ACVR2B
STAT6	SELP
ITGA4	PARVA
MPG	TFF1
PSMD3	PSMC5
TBX21	STAT4
RPS6KB1	RICTOR
CCL3L1	CCR4
RPS16	RPS17
PPP2R2A	PRKCI
CD4	CD80
GDF2	ACVR2A
ROCK1	MYH2
CDKN1A	PRB3
SUMO1	UBE2L3
RAC1	FES
NR3C1	MMP1
VAV3	PIK3CD
RPS14	RPS23
VEGFC	FLT1
PAFAH1B1	AKAP9
CDC42	PAK1
PCNT	SFI1
PTK2	PLCG1
LCK	SHC2
PLCG2	PLA2G3
COL17A1	PLEC
ACTN2	MAGI1
UBB	RPS19
LAMB4	ITGA11
GSK3A	SERPINB2
CRADD	FADD
TRIP12	SLC10A2
ADRBK1	F2R
PTPN6	IFNAR1
TUBB4	PLCB1
VAV3	PLCG1
CLDN7	CLDN17
PRKAA2	MTOR
LEP	PRKAB2
SOCS5	IL3RA
CALM1	CAMK4
LAT	MAP4K1
FZD10	LRP5
ERBB4	SH3GL1
IRF5	CCL3
NUP205	KPNB1
HERPUD1	MMP9
FLII	PKD1
ABI1	ARPC4
BRAF	SFN
JAK2	IL13RA1
PAK6	ARHGEF6
DHH	PTCH2
MAP3K7IP1	TRADD
FOS	GSTA2
GAB2	STAT5B
RB1	MXI1
PRKCI	PARD6B
MYLK2	MAPK8
GNGT1	PIK3CB
FAS	MAP2K6
FGF8	FGFR3
SRC	PIK3CD
TSGA14	OFD1
EDN1	PLCB3
ELK1	ELK4
FAIM3	FAF1
HSPA1A	TNF
RAC3	PAK7
LRP6	CTNNB1
BARD1	RBBP8
ITGB6	PPP2CA
CCL24	CCR8
GNB5	GNA15
ZBTB17	CCL5
LAMA4	ITGB8
PPARA	DBI
F8	F10
HERPUD2	MMRN1
MCF2	RAC1
PXN	CAPN1
CBLC	FYN
U2AF1	SNRPE
IL4	ANPEP
EGLN1	EPAS1
DLL3	NOTCH1
IKBKB	IRS2
FBXW11	KDR
PIAS3	EP300
SFRS2	SNRPN
KHDRBS1	CBL
NCSTN	ZNF274
CSE	NFE2L2
PPP2R5C	BAD
HNRNPU	GTF2H1
ITGA9	ITGB7
RPLP2	RPS29
PSMD8	TRIP12
SNRPB	SNRPG
RPLP1	RPS14
LCK	SGMS1
FGF13	FGFR1
TP53	UBE2A
THPO	FPR1
HECTD3	CUL7
DFFB	HMGB1
PDGFB	KDR
TGFB1	CYP7A1
IL6R	GAB2
MYLK	ITGA9
BMP2	MEF2A
EFNB2	SHC1
AMFR	SOD1
FANCE	HES1
NUP85	RBM8A
LCK	TRAPPC9
CSNK1G3	PER1
RPS18	RPS20
KSR1	YWHAQ
GRIN1	RYR2
PSMD13	PSMB5
ITGA6	PARVA
MSN	PTK2
FRK	CBL
PIK3R1	CCND3
PRL	NFKB1
PROC	F8
CALCA	ACHE
ANAPC11	ANAPC1
STK17A	LAS1L
NR3C1	TBX21
GNAI3	NRAS
DAXX	MAP2K6
STAT5B	CCNB1
DYRK1B	MAPK1
PSMB8	CDC26
TRIB3	NEUROD1
RUVBL1	TERT
POLR2H	GTF2H4
ERCC2	LOC100290337
MYL9	TRIM32
DKK3	GDEP
RPL39	RPS29
SSH3	CFL1
LIMK2	CRK
PRKACA	FIP1L1
SORBS2	CBL
CNR1	CACNA1S
EFNB3	GRB2
STK11	PRKAB1
LOC100291837	RPS13
KIT	MPDZ
GSK3B	MAPT
RBBP4	GLI1
EFNB3	RRAS
FEN1	PPIA
RPL10L	RPL3
EDN1	GNAL
CCL4L2	CCR3
ADAM10	NOTCH1
U2AF2	SNRNP70
YES1	GSN
IL1B	SELE
TAF1	MDM2
PPP5C	ATM
IL7	IL2RG
CCL20	CXCR1
RRAS	PIK3R3
SH3BP2	CD4
ODF2	CEP110
PIK3CD	TXK
TNFSF11	TNFRSF11A
ACTN1	TLN1
IL1RAP	PIK3R1
TNR	ITGA2B
INS	SOS1
SOCS1	TNF
ITPR1	CALML3
CAMK1	GAPDH
EIF2S3	RPS5
PPP1CC	CFL1
MAPK3	RPS6KA6
PHKB	PYGL
WNT11	FZD3
RDBP	POLR2D
FHL2	ITGA9
GNA12	S1PR4
POMP	PSMB4
CDKN2A	TCEAL1
PSMA5	ANAPC1
RPL6	RPS29
RPL39L	RPL23A
CBLC	OSMR
COL1A2	GP6
IL1A	PIK3CD
MYC	CCNE1
JAK3	PIK3CA
RPL30	RPS19
WNT16	FZD1
CSF3	GAB2
HBA2	RPS3A
XIAP	DIABLO
FLNC	MAP2K4
MTDH	NFKB1
PLA2G6	PLAA
PAAF1	CKS1B
FOS	STAT3
NPPA	HTR3A
PIAS4	SOCS1
IFNAR2	TERT
MAP2K1	FOS
IL11RA	JAK3
NDRG2	ALCAM
PAK1	PRIM2
ELAVL1	EIF4E
RUVBL2	NCL
PAK1	WDR45B
RPL10L	RPS3A
CSNK1D	ODF2
BLNK	NCK1
NRIP1	FABP1
REN	ATP6AP2
CHKA	ANKRD6
TNF	ABCG2
SLC4A1	GYPA
CASP8	TRADD
SMAD3	SOX9
GNGT1	SLC9A3R1
ABI2	ACTR3
CTNNB1	NEUROG1
FOS	UGT1A6
CREBBP	TCF3
RPL38	FXR2
CAMK2B	STMN1
YWHAZ	RPA1
RPS6	RPL14
MTA1	BCAS3
STAT6	CCND2
VRK1	TOX
LCK	PRKCE
CAMKK1	CAMK2B
GNA13	CDH1
PSMD1	RAD23B
MCM2	MCM3
CXCL2	CXCR2
ACVR1B	ACVR2B
DYRK3	CSRP3
PDGFA	TNFRSF11B
RAP1GAP	TERF2IP
LBR	FCER2
CARM1	KLK3
CSNK1G1	CASKIN1
FGF20	FGFR1
RXRB	EHHADH
MYB	TRD@
YY1	CDC6
PSMB6	ANAPC11
CXCL12	LCK
DUSP6	MAPK12
HDAC1	SNAI3
EDN1	IK
VRK3	OLIG3
HUS1	ATR
